locus_id,locus_index,nnz_across_pgs,mean_abs_weight,z0,z1,z2,z3
10:100421841,340,2,0.14764734,-0.5144704,0.57916206,0.8155266,-0.18076836
10:101912194,1110,3,0.29773748,0.12192627,-0.39326718,0.29761732,-0.9670977
10:103065789,1771,2,0.13355628,0.40011817,-0.44467735,-0.20182659,0.3330394
10:112678657,6906,2,0.08387254,0.27880254,-0.15565324,0.7334808,-0.15155222
10:114749734,8250,3,0.29999524,-1.2278216,0.91071236,0.44977486,-0.12126544
10:114758349,8258,3,0.2999318,0.87744254,0.77576995,-0.32411486,0.117843404
10:118558736,10503,2,0.1527087,0.3858251,-0.48492295,0.11020213,-0.2847426
10:121660400,12334,3,0.26760522,-0.16925949,0.49007982,0.45125622,1.3734677
10:122930568,13271,2,0.16474159,-0.7733193,0.32048833,-0.084634185,-0.33240944
10:12307894,13394,5,0.49157038,-0.52456,1.7255436,0.062470507,-0.15701927
10:124193181,14251,2,0.17209174,-0.07531991,-0.3024795,-0.27098674,-0.59078866
10:63717113,48639,3,0.28470424,-0.47458383,-0.1530877,-0.7239635,-0.37088752
10:64970928,49410,3,0.2689506,-1.0892255,0.86741,0.4867459,-0.013993204
10:70382179,52444,2,0.13735572,0.08510388,0.32379574,1.1193258,0.17615767
10:71466578,53244,2,0.14167032,0.2677906,0.32220772,0.09983075,0.042162724
10:72648336,54256,2,0.15345915,0.51732403,-0.41734412,-0.069731876,0.6765004
10:73835274,55208,3,0.2954289,-1.2099104,0.9025572,0.4601767,-0.13109417
10:77244336,56564,3,0.27509606,-0.17974521,-0.081342265,1.7296536,0.2876026
10:81915136,59535,2,0.19999632,0.21741584,0.29979092,0.13261008,0.20303203
10:89722731,64158,3,0.25747794,-0.103642665,0.4497129,1.4374188,-0.41506225
10:94462882,66885,4,0.39245227,-1.2681372,0.7385833,0.5994188,-0.1040896
11:117693255,80299,2,0.13754907,0.51536083,-0.2056759,0.7039108,0.2791192
11:13340710,91199,2,0.18666787,0.2251123,0.43920678,0.93326503,1.1716458
11:14518419,92817,3,0.29999924,-0.12605579,0.50820625,0.46962088,1.5606053
11:17408630,94250,2,0.17564213,0.6163291,0.66465044,-0.16141225,0.099249884
11:17418477,94263,2,0.1583852,-0.058737867,-0.29060867,-0.2551655,-0.5425425
11:2197286,97493,2,0.19888851,-0.7245484,0.7419949,0.9318987,-0.41015917
11:2858546,101147,5,0.49998483,-0.6546511,1.6990603,0.12257457,-0.33389074
11:30620262,102169,2,0.17079249,0.4942263,-0.5344127,-0.269874,0.4361903
11:32956492,103308,2,0.18967712,-0.8697563,0.36204648,-0.10450001,-0.38223106
11:35433712,104880,2,0.1855056,-0.855378,0.35508117,-0.09223646,-0.3876865
11:43878459,109198,3,0.2476865,0.7528749,-0.55757594,0.34190255,0.29776478
11:47857253,111498,2,0.15879261,0.6564083,-0.19166869,0.58105576,0.7322008
11:48489360,111750,2,0.1958859,-0.7130675,0.73201376,0.92234135,-0.40060133
11:50110597,112200,2,0.12852094,-0.4482731,0.4735611,0.403359,0.47541827
11:55588216,113120,3,0.2658371,-0.43450353,-0.16619119,-0.6192536,-0.46219593
11:69463273,120074,3,0.29471284,-0.22862014,0.4979711,1.470885,-0.6762699
